train;test
Id;Id
MSSubClass;MSSubClass
LotFrontage;LotFrontage
LotArea;LotArea
OverallQual;OverallQual
OverallCond;OverallCond
YearBuilt;YearBuilt
YearRemodAdd;YearRemodAdd
MasVnrArea;MasVnrArea
BsmtFinSF1;BsmtFinSF1
BsmtFinSF2;BsmtFinSF2
BsmtUnfSF;BsmtUnfSF
TotalBsmtSF;TotalBsmtSF
1stFlrSF;1stFlrSF
2ndFlrSF;2ndFlrSF
LowQualFinSF;LowQualFinSF
GrLivArea;GrLivArea
BsmtFullBath;BsmtFullBath
BsmtHalfBath;BsmtHalfBath
FullBath;FullBath
HalfBath;HalfBath
BedroomAbvGr;BedroomAbvGr
KitchenAbvGr;KitchenAbvGr
TotRmsAbvGrd;TotRmsAbvGrd
Fireplaces;Fireplaces
GarageYrBlt;GarageYrBlt
GarageCars;GarageCars
GarageArea;GarageArea
WoodDeckSF;WoodDeckSF
OpenPorchSF;OpenPorchSF
EnclosedPorch;EnclosedPorch
3SsnPorch;3SsnPorch
ScreenPorch;ScreenPorch
PoolArea;PoolArea
MiscVal;MiscVal
MoSold;MoSold
YrSold;YrSold
MSZoning_C (all);MSZoning_C (all)
MSZoning_FV;MSZoning_FV
MSZoning_RH;MSZoning_RH
MSZoning_RL;MSZoning_RL
MSZoning_RM;MSZoning_RM
Street_Grvl;Street_Grvl
Street_Pave;Street_Pave
Alley_Grvl;Alley_Grvl
Alley_Pave;Alley_Pave
LotShape_IR1;LotShape_IR1
LotShape_IR2;LotShape_IR2
LotShape_IR3;LotShape_IR3
LotShape_Reg;LotShape_Reg
LandContour_Bnk;LandContour_Bnk
LandContour_HLS;LandContour_HLS
LandContour_Low;LandContour_Low
LandContour_Lvl;LandContour_Lvl
Utilities_AllPub;Utilities_AllPub
Utilities_NoSeWa;
LotConfig_Corner;LotConfig_Corner
LotConfig_CulDSac;LotConfig_CulDSac
LotConfig_FR2;LotConfig_FR2
LotConfig_FR3;LotConfig_FR3
LotConfig_Inside;LotConfig_Inside
LandSlope_Gtl;LandSlope_Gtl
LandSlope_Mod;LandSlope_Mod
LandSlope_Sev;LandSlope_Sev
Neighborhood_Blmngtn;Neighborhood_Blmngtn
Neighborhood_Blueste;Neighborhood_Blueste
Neighborhood_BrDale;Neighborhood_BrDale
Neighborhood_BrkSide;Neighborhood_BrkSide
Neighborhood_ClearCr;Neighborhood_ClearCr
Neighborhood_CollgCr;Neighborhood_CollgCr
Neighborhood_Crawfor;Neighborhood_Crawfor
Neighborhood_Edwards;Neighborhood_Edwards
Neighborhood_Gilbert;Neighborhood_Gilbert
Neighborhood_IDOTRR;Neighborhood_IDOTRR
Neighborhood_MeadowV;Neighborhood_MeadowV
Neighborhood_Mitchel;Neighborhood_Mitchel
Neighborhood_NAmes;Neighborhood_NAmes
Neighborhood_NPkVill;Neighborhood_NPkVill
Neighborhood_NWAmes;Neighborhood_NWAmes
Neighborhood_NoRidge;Neighborhood_NoRidge
Neighborhood_NridgHt;Neighborhood_NridgHt
Neighborhood_OldTown;Neighborhood_OldTown
Neighborhood_SWISU;Neighborhood_SWISU
Neighborhood_Sawyer;Neighborhood_Sawyer
Neighborhood_SawyerW;Neighborhood_SawyerW
Neighborhood_Somerst;Neighborhood_Somerst
Neighborhood_StoneBr;Neighborhood_StoneBr
Neighborhood_Timber;Neighborhood_Timber
Neighborhood_Veenker;Neighborhood_Veenker
Condition1_Artery;Condition1_Artery
Condition1_Feedr;Condition1_Feedr
Condition1_Norm;Condition1_Norm
Condition1_PosA;Condition1_PosA
Condition1_PosN;Condition1_PosN
Condition1_RRAe;Condition1_RRAe
Condition1_RRAn;Condition1_RRAn
Condition1_RRNe;Condition1_RRNe
Condition1_RRNn;Condition1_RRNn
Condition2_Artery;Condition2_Artery
Condition2_Feedr;Condition2_Feedr
Condition2_Norm;Condition2_Norm
Condition2_PosA;Condition2_PosA
Condition2_PosN;Condition2_PosN
Condition2_RRAe;
Condition2_RRAn;
Condition2_RRNn;
BldgType_1Fam;BldgType_1Fam
BldgType_2fmCon;BldgType_2fmCon
BldgType_Duplex;BldgType_Duplex
BldgType_Twnhs;BldgType_Twnhs
BldgType_TwnhsE;BldgType_TwnhsE
HouseStyle_1.5Fin;HouseStyle_1.5Fin
HouseStyle_1.5Unf;HouseStyle_1.5Unf
HouseStyle_1Story;HouseStyle_1Story
HouseStyle_2.5Fin;
HouseStyle_2.5Unf;HouseStyle_2.5Unf
HouseStyle_2Story;HouseStyle_2Story
HouseStyle_SFoyer;HouseStyle_SFoyer
HouseStyle_SLvl;HouseStyle_SLvl
RoofStyle_Flat;RoofStyle_Flat
