Senza rimuovere i nan; Rimuovendo i nan
MSE: 10 1328167577.629; MSE: 10 1328167577.629
MSE: 20 1182682370.373; MSE: 20 1182682370.373
MSE: 30 1104741330.853; MSE: 30 1104741330.853
MSE: 40 1012303423.130; MSE: 40 1012303423.130
MSE: 50 948137383.862; MSE: 50 948137383.862
MSE: 60 929795932.841; MSE: 60 929795932.841
MSE: 70 903007997.988; MSE: 70 903007997.988
MSE: 80 857607106.758; MSE: 80 857607106.758
MSE: 90 813405686.784; MSE: 90 797190122.432
MSE: 100 761468060.057; MSE: 100 787704351.698
MSE: 110 748722717.818; MSE: 110 772329106.975
MSE: 120 716694574.666; MSE: 120 735056623.905
MSE: 130 691358400.221; MSE: 130 711174622.638
MSE: 140 676556209.568; MSE: 140 705483536.495
MSE: 150 650614476.287; MSE: 150 664240517.922
MSE: 160 634946957.491; MSE: 160 660469830.745
MSE: 170 628817399.187; MSE: 170 653610334.797
MSE: 180 593317467.269; MSE: 180 616079715.383
MSE: 190 584583721.078; MSE: 190 606956057.511
MSE: 200 575232517.813; MSE: 200 600718838.307
MSE: 210 572626340.599; MSE: 210 595887667.156
MSE: 220 568829195.530; MSE: 220 588147771.037
MSE: 230 561829494.970; MSE: 230 583057051.205
MSE: 240 556563266.771; MSE: 240 577520027.985
MSE: 250 550160217.073; MSE: 250 574322806.962
MSE: 260 545494627.591; MSE: 260 554472877.442
MSE: 270 529709088.563; MSE: 270 437613104.338
MSE: 280 427785780.680;
